id,brand,model,year,category,rating,displacement_ccm,power_hp,engine_cylinder,fuel_capacity_lts,dry_weight_kg,seat_height_mm
33347,vastro,50 street-x,2021,Scooter,Unknown,49.2,2.8,Single cylinder,5.0,80.0,Unknown
33348,vastro,tres,2022,Scooter,Unknown,Unknown,1.1,Electric,5.0,110.0,Unknown
33353,vectrix,vx-1,2010,Scooter,Unknown,Unknown,Unknown,Electric,Unknown,227.0,770.0
33354,vectrix,vx-1,2011,Scooter,3.4,Unknown,28.2,Electric,Unknown,227.0,770.0
33355,vectrix,vx-1 li plus,2012,Scooter,Unknown,Unknown,28.2,Electric,Unknown,209.0,775.0
33356,vectrix,vx-1 li plus,2013,Scooter,Unknown,Unknown,28.2,Electric,Unknown,209.0,775.0
33358,vectrix,vx-1e,2010,Scooter,Unknown,Unknown,28.2,Electric,Unknown,Unknown,770.0
33359,vectrix,vx-2,2012,Scooter,Unknown,Unknown,5.4,Electric,Unknown,195.0,760.0
33360,vectrix,vx-2,2013,Scooter,Unknown,Unknown,5.4,Electric,Unknown,195.0,760.0
33361,vectrix,vx-3,2012,Scooter,Unknown,Unknown,28.2,Electric,Unknown,238.0,775.0
33362,vectrix,vx-3,2013,Scooter,Unknown,Unknown,28.2,Electric,Unknown,238.0,775.0
33373,veli,vgx6 e,2022,Sport,Unknown,Unknown,8.1,Electric,Unknown,Unknown,850.0
33374,veli,vgx8 e,2022,Naked bike,Unknown,Unknown,8.1,Electric,Unknown,Unknown,950.0
33378,veli,vl 150gs,2010,Sport,Unknown,149.3,10.1,Single cylinder,14.8,Unknown,Unknown
33380,veli,vl 250gs,2010,Sport,Unknown,253.0,Unknown,Single cylinder,13.0,140.0,Unknown
33384,veli,vl 5000 dt-5,2021,Naked bike,Unknown,Unknown,6.7,Electric,Unknown,139.0,815.0
33385,veli,vl 50qt-26 air blade,2011,Scooter,Unknown,49.4,4.3,Single cylinder,6.0,110.0,Unknown
33386,veli,vl 50qt-42,2011,Scooter,Unknown,49.4,3.4,Single cylinder,4.5,88.0,Unknown
