id,Brand,Model,Year,Category,Engine Size (cc),Power (hp),Engine Cylinder,Fuel Capacity (Lts),Weight (kg),Seat Height (mm),Power-to-Weight (hp/kg)
10859,Harley-Davidson,softail deluxe,2018,Custom / Cruiser,1745,86.0,V2,18.93,303.0,680.0,0.28
10860,Harley-Davidson,softail deluxe,2019,Custom / Cruiser,1746,86.0,V2,18.93,303.0,658.0,0.28
10862,Harley-Davidson,softail fat bob,2018,Custom / Cruiser,1745,86.0,V2,13.6,296.0,710.0,0.29
10863,Harley-Davidson,softail fat bob,2019,Custom / Cruiser,1746,86.0,V2,13.6,296.0,710.0,0.29
10864,Harley-Davidson,softail fat bob 114,2018,Custom / Cruiser,1745,94.0,V2,13.6,296.0,710.0,0.32
10865,Harley-Davidson,softail fat bob 114,2019,Custom / Cruiser,1868,94.0,V2,13.6,296.0,710.0,0.32
10866,Harley-Davidson,softail fat bob dark custom,2018,Custom / Cruiser,1690,80.0,V2,18.9,305.0,590.0,0.26
10870,Harley-Davidson,softail fat boy,2015,Custom / Cruiser,1690,77.8,V2,18.93,313.0,635.0,0.25
10871,Harley-Davidson,softail fat boy,2016,Custom / Cruiser,1690,78.0,V2,18.93,320.0,690.0,0.24
10872,Harley-Davidson,softail fat boy,2017,Custom / Cruiser,1690,75.0,V2,18.93,320.0,670.0,0.23
10873,Harley-Davidson,softail fat boy,2018,Custom / Cruiser,1745,86.0,V2,18.93,304.0,675.0,0.28
10874,Harley-Davidson,softail fat boy,2019,Custom / Cruiser,1746,86.0,V2,18.93,304.0,675.0,0.28
10875,Harley-Davidson,softail fat boy 114,2018,Custom / Cruiser,1868,94.0,V2,18.93,304.0,675.0,0.31
10876,Harley-Davidson,softail fat boy 114,2019,Custom / Cruiser,1868,94.0,V2,18.93,304.0,675.0,0.31
10882,Harley-Davidson,softail fat boy s,2017,Custom / Cruiser,1801,92.0,V2,18.9,320.0,670.0,0.29
10884,Harley-Davidson,softail fat boy special,2015,Custom / Cruiser,1690,77.8,V2,18.9,318.0,670.0,0.24
10885,Harley-Davidson,softail fat boy special,2016,Custom / Cruiser,1690,77.8,V2,18.9,320.0,670.0,0.24
10888,Harley-Davidson,softail heritage classic,2018,Custom / Cruiser,1745,86.0,V2,18.9,316.0,680.0,0.27
10889,Harley-Davidson,softail heritage classic,2019,Custom / Cruiser,1746,86.0,V2,18.9,316.0,680.0,0.27
10890,Harley-Davidson,softail heritage classic 114,2018,Custom / Cruiser,1868,94.0,V2,18.9,316.0,680.0,0.3
10891,Harley-Davidson,softail heritage classic 114,2019,Custom / Cruiser,1868,94.0,V2,18.9,316.0,680.0,0.3
10892,Harley-Davidson,softail heritage classic 114,2020,Custom / Cruiser,1868,94.0,V2,18.9,316.0,668.0,0.3
10895,Harley-Davidson,softail low rider,2018,Custom / Cruiser,1745,86.0,V2,18.9,287.0,690.0,0.3
10896,Harley-Davidson,softail low rider,2019,Custom / Cruiser,1746,86.0,V2,18.9,287.0,690.0,0.3
10897,Harley-Davidson,softail low rider s,2020,Custom / Cruiser,1868,86.0,V2,18.9,294.8,673.0,0.29
10900,Harley-Davidson,softail slim,2015,Custom / Cruiser,1690,77.8,V2,18.93,304.4,650.0,0.26
10901,Harley-Davidson,softail slim,2016,Custom / Cruiser,1690,78.9,V2,18.93,308.0,650.0,0.26
10902,Harley-Davidson,softail slim,2017,Custom / Cruiser,1690,75.0,V2,18.9,308.0,650.0,0.24
10903,Harley-Davidson,softail slim,2018,Custom / Cruiser,1745,86.0,V2,18.9,291.0,660.0,0.3
10904,Harley-Davidson,softail slim,2019,Custom / Cruiser,1746,86.0,V2,18.9,291.0,660.0,0.3
10905,Harley-Davidson,softail slim,2020,Custom / Cruiser,1746,86.0,V2,18.9,291.0,648.0,0.3
10906,Harley-Davidson,softail slim,2021,Custom / Cruiser,1746,86.0,V2,18.9,291.0,648.0,0.3
10907,Harley-Davidson,softail slim s,2016,Custom / Cruiser,1801,92.5,V2,18.9,308.0,650.0,0.3
10908,Harley-Davidson,softail slim s,2017,Custom / Cruiser,1801,92.0,V2,18.9,308.0,650.0,0.3
10916,Harley-Davidson,softail street bob,2018,Custom / Cruiser,1745,86.0,V2,13.2,286.0,680.0,0.3
10917,Harley-Davidson,softail street bob,2019,Custom / Cruiser,1746,86.0,V2,13.2,286.0,680.0,0.3
10918,Harley-Davidson,softail street bob dark custom,2018,Custom / Cruiser,1690,86.0,V2,13.2,289.0,680.0,0.3
10920,Harley-Davidson,sport glide,2018,Custom / Cruiser,1745,86.0,V2,18.93,304.0,680.0,0.28
10921,Harley-Davidson,sport glide,2019,Custom / Cruiser,1746,86.0,V2,18.93,304.0,653.0,0.28
10922,Harley-Davidson,sport glide,2020,Custom / Cruiser,1746,86.0,V2,18.93,304.0,653.0,0.28
10923,Harley-Davidson,sport glide,2021,Custom / Cruiser,1746,86.0,V2,18.93,304.0,653.0,0.28
10939,Harley-Davidson,sportster 1200 custom,2015,Custom / Cruiser,1201,67.1,V2,2.8,250.8,676.0,0.27
10940,Harley-Davidson,sportster 1200 custom,2016,Custom / Cruiser,1201,68.0,V2,2.8,255.0,676.0,0.27
10941,Harley-Davidson,sportster 1200 custom,2017,Custom / Cruiser,1201,68.0,V2,2.8,255.0,676.0,0.27
10942,Harley-Davidson,sportster 1200 custom,2018,Custom / Cruiser,1201,67.0,V2,17.0,255.0,725.0,0.26
10943,Harley-Davidson,sportster 1200 custom,2019,Custom / Cruiser,1202,67.0,V2,17.0,255.0,725.0,0.26
10952,Harley-Davidson,sportster 883 roadster,2014,Custom / Cruiser,883,52.0,V2,12.5,255.0,760.0,0.2
